ACS::ACK::Cluster,Ack集群
ACS::ActionTrail::Trail,ActionTrail跟踪
ACS::CDN::Domain,Cdn域名
ACS::CEN::CenBandwidthPackage,Cen带宽包
ACS::CEN::CenInstance,Cen云企业网实例
ACS::CEN::Flowlog,Cen流日志
ACS::DdosCoo::Instance,Ddos实例
ACS::ECS::AutoSnapshotPolicy,Ecs自动快照策略
ACS::ECS::Command,Ecs云助手命令
ACS::ECS::DedicatedHost,Ecs专有宿主机DDH
ACS::ECS::Disk,Ecs云盘
ACS::ECS::Instance,Ecs实例
ACS::ECS::LaunchTemplate,Ecs实例启动模板
ACS::ECS::NetworkInterface,Ecs弹性网卡
ACS::ECS::SecurityGroup,Ecs安全组
ACS::ECS::Snapshot,Ecs快照
ACS::ESS::ScalingConfiguration,Ess伸缩配置
ACS::ESS::ScalingGroup,Ess伸缩组
ACS::ESS::ScalingRule,Ess伸缩规则
ACS::NAS::FileSystem,Nas文件系统
ACS::OSS::Bucket,Oss存储桶
ACS::PolarDB::DBCluster,Polardb集群
ACS::RAM::Policy,Ram策略
ACS::RAM::Role,Ram角色
ACS::RAM::User,Ram用户
ACS::RAM::Group,Ram用户组
ACS::RDS::DBInstance,Rds实例
ACS::SLB::AccessControlList,Slb访问控制列表
ACS::SLB::CACertificate,Slb客户端证书
ACS::SLB::LoadBalancer,Slb负载均衡
ACS::SLB::ServerCertificate,Slb服务端证书
ACS::VPC::RouteTable,Vpc路由表
ACS::VPC::VPC,Vpc专有网络
ACS::VPC::VSwitch,Vpc交换机
ACS::WAF::Domain,Waf域名
ACS::WAF::Instance,Waf实例
ACS::Redis::DBInstance,Redis实例
ACS::MongoDB::DBInstance,MongoDB实例
ACS::HBase::Cluster,HBase集群
ACS::Ons::Instance,消息队列RocketMQ版
ACS::Ons::Group,RocketMQ消费集群组
ACS::Ons::Topic,RocketMQ消费订阅主题
ACS::ResourceManager::ResourceGroup,资源组
ACS::Alidns::Instance,Dns实例
ACS::Alidns::DomainGroup,Dns域名组
ACS::Alidns::Domain,Dns域名
ACS::KMS::Key,Kms主密钥
ACS::Elasticsearch::Logstash,ElasticsearchLogstash实例
ACS::Elasticsearch::Instance,Elasticsearch实例
ACS::ROS::Stack,Ros资源栈
ACS::ROS::StackGroup,Ros资源栈组
ACS::Bastionhost::Instance,堡垒机实例
ACS::VPN::CustomerGateway,Vpn用户网关
ACS::VPN::VpnConnection,VpnIPsec连接
ACS::VPN::VpnGateway,VPN网关
ACS::CBWP::CommonBandwidthPackage,Cbwp共享带宽包
ACS::EIP::EipAddress,Eip弹性公网IP
ACS::NAT::NatGateway,NAT网关
ACS::PrivateLink::VpcEndpointService,终端节点服务
ACS::PrivateLink::VpcEndpoint,终端节点
