# 官方文档
# https://help.aliyun.com/document_detail/127411.html
ECS实例,ACS::ECS::Instance
ECS弹性网卡,ACS::ECS::NetworkInterface
ECS安全组,ACS::ECS::SecurityGroup
ECS云盘,ACS::ECS::Disk
ECS快照,ACS::ECS::Snapshot
ECS自动快照策略,ACS::ECS::AutoSnapshotPolicy
ECS云助手命令,ACS::ECS::Command
ECS专用宿主机DDH,ACS::ECS::DedicatedHost
ECS实例启动模板,ACS::ECS::LaunchTemplate
RDS实例,ACS::RDS::DBInstance
操作审计跟踪,ACS::ActionTrail::Trail
VPC专有网络,ACS::VPC::VPC
VPC路由表,ACS::VPC::RouteTable
VPC交换机,ACS::VPC::VSwitch
VPN网关,ACS::VPN::VpnGateway
VPN,IPsec连接,ACS::VPN::VpnConnection
VPN用户网关,ACS::VPN::CustomerGateway
EIP弹性公网IP,ACS::EIP::EipAddress
RAM角色,ACS::RAM::Role
RAM策略,ACS::RAM::Policy
RAM用户,ACS::RAM::User
SLB负载均衡,ACS::SLB::LoadBalancer
SLB客户端证书,ACS::SLB::CACertificate
SLB服务端证书,ACS::SLB::ServerCertificate
SLB访问控制列表,ACS::SLB::AccessControlList
CDN域名,ACS::CDN::Domain
ESS伸缩组,ACS::ESS::ScalingGroup
ESS伸缩规则,ACS::ESS::ScalingRule
ESS伸缩配置,ACS::ESS::ScalingConfiguration
OSS存储桶,ACS::OSS::Bucket
Redis实例,ACS::Redis::DBInstance
PolarDB集群,ACS::PolarDB::DBCluster
MongoDB实例,ACS::MongoDB::DBInstance
CBWP共享带宽包,ACS::CBWP::CommonBandwidthPackage
CEN实例,ACS::CEN::CenInstance
CEN带宽包,ACS::CEN::CenBandwidthPackage
CEN流日志,ACS::CEN::Flowlog
WAF实例,ACS::WAF::Instance
WAF域名,ACS::WAF::Domain
DDoS实例,ACS::DdosCoo::Instance
NAS文件系统,ACS::NAS::FileSystem
NAS挂载点,ACS::NAS::MountTarget
NAS权限组,ACS::NAS::AccessGroup
HBase集群,ACS::HBase::Cluster
ACK集群,ACS::ACK::Cluster
NAT网关,ACS::NAT::NATGateway
MQ实例,ACS::MQ::Instance
资源组,ACS::RM::ResourceGroup
DNS实例,ACS::DNS::Instance
DNS域名分组,ACS::DNS::DomainGroup
DNS域名,ACS::DNS::Domain
MSE集群,ACS::MSE::Cluster
# 手动维护
RAM用户组,ACS::RAM::Group
资源组,ACS::ResourceManager::ResourceGroup
